"game_id","away_team","home_team","game_type","away_score","home_score","away_yards","home_yards","total_yards","away_drives","home_drives","away_touchdowns","home_touchdowns","away_field_goals","home_field_goals","away_punts","home_punts","home_line","over_under","away_td_perc","away_fg_perc","away_pn_perc","home_td_perc","home_fg_perc","home_pn_perc","season"
"2024_08_MIN_LA","MIN","LAR","REG",20,26,276,386,662,10,9,2,0,2,0,6,9,-3,47.5,0.2,0.2,0.6,0,0,1,2024
"2024_08_NO_LAC","NO","LAC","REG",8,26,366,378,744,13,14,0,4,2,2,11,8,7,41.5,0,0.153846153846154,0.846153846153846,0.285714285714286,0.142857142857143,0.571428571428571,2024
"2024_08_NYG_PIT","NYG","PIT","REG",18,26,394,426,820,11,12,1,1,4,4,6,7,6,37.5,0.0909090909090909,0.363636363636364,0.545454545454545,0.0833333333333333,0.333333333333333,0.583333333333333,2024
"2024_08_NYJ_NE","NYJ","NE","REG",22,25,336,250,586,10,11,3,3,1,1,6,7,-7,41,0.3,0.1,0.6,0.272727272727273,0.0909090909090909,0.636363636363636,2024
"2024_08_PHI_CIN","PHI","CIN","REG",37,17,397,280,677,8,9,4,2,3,1,1,6,2.5,47.5,0.5,0.375,0.125,0.222222222222222,0.111111111111111,0.666666666666667,2024
"2024_08_TEN_DET","TEN","DET","REG",14,52,416,225,641,14,14,2,6,0,1,12,7,12.5,45,0.142857142857143,0,0.857142857142857,0.428571428571429,0.0714285714285714,0.5,2024
"2024_09_CHI_ARI","CHI","ARI","REG",9,29,241,350,591,12,12,1,3,2,2,9,7,1.5,44.5,0.0833333333333333,0.166666666666667,0.75,0.25,0.166666666666667,0.583333333333333,2024
"2024_09_DAL_ATL","DAL","ATL","REG",21,27,380,310,690,12,11,2,4,2,0,8,7,3,52,0.166666666666667,0.166666666666667,0.666666666666667,0.363636363636364,0,0.636363636363636,2024
"2024_09_DEN_BAL","DEN","BAL","REG",10,41,319,396,715,10,10,1,5,1,2,8,3,9,46.5,0.1,0.1,0.8,0.5,0.2,0.3,2024
"2024_09_DET_GB","DET","GB","REG",24,14,261,413,674,8,10,2,1,1,2,5,7,-2.5,47.5,0.25,0.125,0.625,0.1,0.2,0.7,2024
"2024_09_HOU_NYJ","HOU","NYJ","REG",13,21,322,293,615,11,10,2,3,2,0,7,7,2.5,43.5,0.181818181818182,0.181818181818182,0.636363636363636,0.3,0,0.7,2024
"2024_09_IND_MIN","IND","MIN","REG",13,21,227,415,642,11,11,0,3,2,0,9,8,6.5,47,0,0.181818181818182,0.818181818181818,0.272727272727273,0,0.727272727272727,2024
"2024_09_JAX_PHI","JAX","PHI","REG",23,28,219,447,666,12,13,1,4,0,1,11,8,7.5,46,0.0833333333333333,0,0.916666666666667,0.307692307692308,0.0769230769230769,0.615384615384615,2024
